--2021-04-24 18:28:22--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.91.123, 91.189.88.248, 91.189.88.247, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.91.123|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

     0K ........ ........ ........ ........ ........ ........  0% 1,69M 27m2s
  3072K ........ ........ ........ ........ ........ ........  0% 4,44M 18m38s
  6144K ........ ........ ........ ........ ........ ........  0% 6,81M 14m39s
  9216K ........ ........ ........ ........ ........ ........  0% 5,69M 12m58s
 12288K ........ ........ ........ ........ ........ ........  0% 4,21M 12m32s
 15360K ........ ........ ........ ........ ........ ........  0% 8,32M 11m20s
 18432K ........ ........ ........ ........ ........ ........  0% 5,68M 10m51s
 21504K ........ ........ ........ ........ ........ ........  0% 3,94M 10m55s
 24576K ........ ........ ........ ........ ........ ........  0% 7,90M 10m20s
 27648K ........ ........ ........ ........ ........ ........  1% 5,66M 10m5s
 30720K ........ ........ ........ ........ ........ ........  1% 5,46M 9m55s
 33792K ........ ........ ........ ........ ........ ........  1% 5,66M 9m45s
 36864K ........ ........ ........ ........ ........ ........  1% 5,12M 9m40s
 39936K ........ ........ ........ ........ ........ ........  1% 3,87M 9m48s
 43008K ........ ........ ........ ........ ........ ........  1% 8,77M 9m28s
 46080K ........ ........ ........ ........ ........ ........  1% 5,68M 9m22s
 49152K ........ ........ ........ ........ ........ ........  1% 4,05M 9m27s
 52224K ........ ........ ........ ........ ........ ........  1% 5,53M 9m22s
 55296K ........ ........ ........ ........ ........ ........  2% 5,17M 9m19s
 58368K ........ ........ ........ ........ ........ ........  2% 8,33M 9m7s
 61440K ........ ........ ........ ........ ........ ........  2% 3,00M 9m23s
 64512K ........ ........ ........ ........ ........ ........  2% 5,11M 9m21s
 67584K ........ ........ ........ ........ ........ ........  2% 6,30M 9m14s
 70656K ........ ........ ........ ........ ........ ........  2% 5,67M 9m10s
 73728K ........ ........ ........ ........ ........ ........  2% 4,66M 9m10s
 76800K ........ ........ ........ ........ ........ ........  2% 4,80M 9m10s
 79872K ........ ........ ........ ........ ........ ........  2% 9,35M 8m59s
 82944K ........ ........ ........ ........ ........ ........  3% 3,80M 9m5s
 86016K ........ ........ ........ ........ ........ ........  3% 9,47M 8m55s
 89088K ........ ........ ........ ........ ........ ........  3% 5,66M 8m52s
 92160K ........ ........ ........ ........ ........ ........  3% 5,52M 8m50s
 95232K ........ ........ ........ ........ ........ ........  3% 5,16M 8m49s
 98304K ........ ........ ........ ........ ........ ........  3% 6,29M 8m45s
101376K ........ ........ ........ ........ ........ ........  3% 5,67M 8m43s
104448K ........ ........ ........ ........ ........ ........  3% 5,66M 8m40s
107520K ........ ........ ........ ........ ........ ........  3% 5,68M 8m38s
110592K ........ ........ ........ ........ ........ ........  4% 4,53M 8m39s
113664K ........ ........ ........ ........ ........ ........  4% 6,41M 8m36s
116736K ........ ........ ........ ........ ........ ........  4% 6,59M 8m32s
119808K ........ ........ ........ ........ ........ ........  4% 5,68M 8m31s
122880K ........ ........ ........ ........ ........ ........  4% 5,68M 8m29s
125952K ........ ........ ........ ........ ........ ........  4% 5,65M 8m27s
129024K ........ ........ ........ ........ ........ ........  4% 3,86M 8m31s
132096K ........ ........ ........ ........ ........ ........  4% 6,09M 8m28s
135168K ........ ........ ........ ........ ........ ........  4% 9,50M 8m22s
138240K ........ ........ ........ ........ ........ ........  5% 4,16M 8m25s
141312K ........ ........ ........ ........ ........ ........  5% 5,65M 8m23s
144384K ........ ........ ........ ........ ........ ........  5% 5,53M 8m22s
147456K ........ ........ ........ ........ ........ ........  5% 4,26M 8m23s
150528K ........ ........ ........ ........ ........ ........  5% 8,49M 8m19s
153600K ........ ........ ........ ........ ........ ........  5% 5,60M 8m18s
156672K ........ ........ ........ ........ ........ ........  5% 5,68M 8m16s
159744K ........ ........ ........ ........ ........ ........  5% 5,68M 8m15s
162816K ........ ........ ........ ........ ........ ........  5% 4,26M 8m16s
165888K ........ ........ ........ ........ ........ ........  6% 8,42M 8m12s
168960K ........ ........ ........ ........ ........ ........  6% 4,52M 8m13s
172032K ........ ........ ........ ........ ........ ........  6% 7,54M 8m10s
175104K ........ ........ ........ ........ ........ ........  6% 3,58M 8m13s
178176K ........ ........ ........ ........ ........ ........  6% 8,92M 8m9s
181248K ........ ........ ........ ........ ........ ........  6% 4,16M 8m11s
184320K ........ ........ ........ ........ ........ ........  6% 8,28M 8m7s
187392K ........ ........ ........ ........ ........ ........  6% 5,67M 8m6s
190464K ........ ........ ........ ........ ........ ........  6% 5,65M 8m5s
193536K ........ ........ ........ ........ ........ ........  6% 5,53M 8m4s
196608K ........ ........ ........ ........ ........ ........  7% 4,22M 8m5s
199680K ........ ........ ........ ........ ........ ........  7% 2,96M 8m10s
202752K ........ ........ ........ ........ ........ ........  7% 8,13M 8m7s
205824K ........ ........ ........ ........ ........ ........  7% 5,63M 8m6s
208896K ........ ........ ........ ........ ........ ........  7% 3,85M 8m8s
