--2021-04-24 18:19:29--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 2001:67c:1562::28, 2001:67c:1360:8001::34, 2001:67c:1360:8001::33, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|2001:67c:1562::28|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

     0K ........ ........ ........ ........ ........ ........  0% 2,04M 22m22s
  3072K ........ ........ ........ ........ ........ ........  0% 4,25M 16m32s
  6144K ........ ........ ........ ........ ........ ........  0% 3,95M 14m51s
  9216K ........ ........ ........ ........ ........ ........  0% 5,90M 13m3s
 12288K ........ ........ ........ ........ ........ ........  0% 5,63M 12m3s
 15360K ........ ........ ........ ........ ........ ........  0% 3,70M 12m5s
 18432K ........ ........ ........ ........ ........ ........  0% 10,7M 10m57s
 21504K ........ ........ ........ ........ ........ ........  0% 4,87M 10m44s
 24576K ........ ........ ........ ........ ........ ........  0% 3,87M 10m50s
 27648K ........ ........ ........ ........ ........ ........  1% 8,25M 10m17s
 30720K ........ ........ ........ ........ ........ ........  1% 5,60M 10m4s
 33792K ........ ........ ........ ........ ........ ........  1% 3,58M 10m16s
 36864K ........ ........ ........ ........ ........ ........  1% 3,59M 10m26s
 39936K ........ ........ ........ ........ ........ ........  1% 4,74M 10m22s
 43008K ........ ........ ........ ........ ........ ........  1% 6,62M 10m7s
 46080K ........ ........ ........ ........ ........ ........  1% 4,33M 10m7s
 49152K ........ ........ ........ ........ ........ ........  1% 2,89M 10m26s
 52224K ........ ........ ........ ........ ........ ........  1% 4,91M 10m21s
 55296K ........ ........ ........ ........ ........ ........  2% 4,81M 10m17s
 58368K ........ ........ ........ ........ ........ ........  2% 5,96M 10m8s
 61440K ........ ........ ........ ........ ........ ........  2% 3,23M 10m18s
 64512K ........ ........ ........ ........ ........ ........  2% 5,66M 10m10s
 67584K ........ ........ ........ ........ ........ ........  2% 8,25M 9m57s
 70656K ........ ........ ........ ........ ........ ........  2% 4,58M 9m56s
 73728K ........ ........ ........ ........ ........ ........  2% 5,40M 9m51s
 76800K ........ ........ ........ ........ ........ ........  2% 3,15M 10m1s
 79872K ........ ........ ........ ........ ........ ........  2% 5,72M 9m55s
 82944K ........ ........ ........ ........ ........ ........  3% 8,77M 9m44s
 86016K ........ ........ ........ ........ ........ ........  3% 3,12M 9m52s
 89088K ........ ........ ........ ........ ........ ........  3% 3,26M 9m59s
 92160K ........ ........ ........ ........ ........ ........  3% 6,22M 9m53s
 95232K ........ ........ ........ ........ ........ ........  3% 4,44M 9m52s
 98304K ........ ........ ........ ........ ........ ........  3% 4,34M 9m52s
101376K ........ ........ ........ ........ ........ ........  3% 3,76M 9m55s
104448K ........ ........ ........ ........ ........ ........  3% 2,26M 10m11s
107520K ........ ........ ........ ........ ........ ........  3% 7,24M 10m3s
110592K ........ ........ ........ ........ ........ ........  4% 3,18M 10m8s
113664K ........ ........ ........ ........ ........ ........  4% 4,23M 10m8s
116736K ........ ........ ........ ........ ........ ........  4% 4,55M 10m7s
119808K ........ ........ ........ ........ ........ ........  4% 4,21M 10m6s
122880K ........ ........ ........ ........ ........ ........  4% 3,23M 10m11s
125952K ........ ........ ........ ........ ........ ........  4% 4,03M 10m11s
129024K ........ ........ ........ ........ ........ ........  4% 3,11M 10m16s
132096K ........ ........ ........ ........ ........ ........  4% 4,01M 10m16s
135168K ........ ........ ........ ........ ........ ........  4% 3,96M 10m16s
138240K ........ ........ ........ ........ ........ ........  5% 4,02M 10m16s
141312K ........ ........ ........ ........ ........ ........  5% 3,97M 10m16s
144384K ........ ........ ........ ........ ........ ........  5% 3,76M 10m17s
147456K ........ ........ ........ ........ ........ ........  5% 4,98M 10m14s
150528K ........ ........ ........ ........ ........ ........  5% 4,86M 10m12s
153600K ........ ........ ........ ........ ........ ........  5% 5,30M 10m9s
156672K ........ ........ ........ ........ ........ ........  5% 5,32M 10m6s
159744K ........ ........ ........ ........ ........ ........  5% 4,39M 10m5s
162816K ........ ........ ........ ........ ........ ........  5% 7,64M 9m59s
165888K ........ ........ ........ ........ ........ ........  6% 3,87M 10m0s
168960K ........ ........ ........ ........ ........ ........  6% 9,98M 9m53s
172032K ........ ........ ........ ........ ........ ........  6% 5,58M 9m50s
175104K ........ ........ ........ ........ ........ ........  6% 4,12M 9m50s
178176K ........ ........ ........ ........ ........ ........  6% 5,03M 9m48s
181248K ........ ........ ........ ........ ........ ........  6% 3,45M 9m50s
184320K ........ ........ ........ ........ ........ ........  6% 2,35M 9m57s
187392K ........ ........ ........ ........ ........ ........  6% 12,3M 9m50s
190464K ........ ........ ........ ........ ........ ........  6% 5,57M 9m48s
193536K ........ ........ ........ ........ ........ ........  6% 2,91M 9m51s
196608K ........ ........ ........ ........ ........ ........  7% 8,47M 9m46s
199680K ........ ........ ........ ........ ........ ........  7% 2,80M 9m50s
202752K ........ ........ ........ ........ ........ ........  7% 7,66M 9m46s
205824K ........ ........ ........ ........ ........ ........  7% 3,02M 9m49s
