--2021-04-24 20:04:53--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.88.247, 91.189.88.248, 91.189.91.123, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.88.247|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

     0K ........ ........ ........ ........ ........ ........  0% 1,62M 28m16s
  3072K ........ ........ ........ ........ ........ ........  0% 3,29M 21m3s
  6144K ........ ........ ........ ........ ........ ........  0% 7,79M 15m58s
  9216K ........ ........ ........ ........ ........ ........  0% 4,93M 14m17s
 12288K ........ ........ ........ ........ ........ ........  0% 2,88M 14m34s
 15360K ........ ........ ........ ........ ........ ........  0% 4,41M 13m51s
 18432K ........ ........ ........ ........ ........ ........  0% 5,76M 12m59s
 21504K ........ ........ ........ ........ ........ ........  0% 6,29M 12m15s
 24576K ........ ........ ........ ........ ........ ........  0% 4,26M 12m3s
 27648K ........ ........ ........ ........ ........ ........  1% 4,04M 11m57s
 30720K ........ ........ ........ ........ ........ ........  1% 5,17M 11m39s
 33792K ........ ........ ........ ........ ........ ........  1% 6,81M 11m13s
 36864K ........ ........ ........ ........ ........ ........  1% 3,52M 11m20s
 39936K ........ ........ ........ ........ ........ ........  1% 4,68M 11m12s
 43008K ........ ........ ........ ........ ........ ........  1% 9,41M 10m45s
 46080K ........ ........ ........ ........ ........ ........  1% 3,60M 10m51s
 49152K ........ ........ ........ ........ ........ ........  1% 4,20M 10m50s
 52224K ........ ........ ........ ........ ........ ........  1% 9,93M 10m28s
 55296K ........ ........ ........ ........ ........ ........  2% 3,65M 10m33s
 58368K ........ ........ ........ ........ ........ ........  2% 3,68M 10m37s
 61440K ........ ........ ........ ........ ........ ........  2% 5,87M 10m28s
 64512K ........ ........ ........ ........ ........ ........  2% 3,81M 10m31s
 67584K ........ ........ ........ ........ ........ ........  2% 5,77M 10m23s
 70656K ........ ........ ........ ........ ........ ........  2% 6,77M 10m13s
 73728K ........ ........ ........ ........ ........ ........  2% 3,33M 10m20s
 76800K ........ ........ ........ ........ ........ ........  2% 2,41M 10m38s
 79872K ........ ........ ........ ........ ........ ........  2% 6,26M 10m29s
 82944K ........ ........ ........ ........ ........ ........  3% 3,37M 10m34s
 86016K ........ ........ ........ ........ ........ ........  3% 2,37M 10m50s
 89088K ........ ........ ........ ........ ........ ........  3% 8,45M 10m38s
 92160K ........ ........ ........ ........ ........ ........  3% 3,29M 10m43s
 95232K ........ ........ ........ ........ ........ ........  3% 5,55M 10m37s
 98304K ........ ........ ........ ........ ........ ........  3% 3,79M 10m38s
101376K ........ ........ ........ ........ ........ ........  3% 8,02M 10m28s
104448K ........ ........ ........ ........ ........ ........  3% 3,89M 10m29s
107520K ........ ........ ........ ........ ........ ........  3% 3,79M 10m30s
110592K ........ ........ ........ ........ ........ ........  4% 8,85M 10m21s
113664K ........ ........ ........ ........ ........ ........  4% 2,87M 10m28s
116736K ........ ........ ........ ........ ........ ........  4% 5,70M 10m23s
119808K ........ ........ ........ ........ ........ ........  4% 3,42M 10m26s
122880K ........ ........ ........ ........ ........ ........  4% 3,62M 10m27s
125952K ........ ........ ........ ........ ........ ........  4% 6,32M 10m22s
129024K ........ ........ ........ ........ ........ ........  4% 3,13M 10m26s
132096K ........ ........ ........ ........ ........ ........  4% 3,35M 10m29s
135168K ........ ........ ........ ........ ........ ........  4% 7,61M 10m22s
138240K ........ ........ ........ ........ ........ ........  5% 5,77M 10m17s
141312K ........ ........ ........ ........ ........ ........  5% 3,45M 10m19s
144384K ........ ........ ........ ........ ........ ........  5% 2,07M 10m32s
147456K ........ ........ ........ ........ ........ ........  5% 8,91M 10m24s
150528K ........ ........ ........ ........ ........ ........  5% 1,67M 10m42s
153600K ........ ........ ........ ........ ........ ........  5% 13,0M 10m33s
156672K ........ ........ ........ ........ ........ ........  5% 4,66M 10m31s
159744K ........ ........ ........ ........ ........ ........  5% 2,85M 10m35s
162816K ........ ........ ........ ........ ........ ........  5% 3,65M 10m36s
165888K ........ ........ ........ ........ ........ ........  6% 4,33M 10m34s
168960K ........ ........ ........ ........ ........ ........  6% 6,97M 10m29s
172032K ........ ........ ........ ........ ........ ........  6% 4,01M 10m28s
175104K ........ ........ ........ ........ ........ ........  6% 6,77M 10m23s
178176K ........ ........ ........ ........ ........ ........  6% 3,56M 10m24s
181248K ........ ........ ........ ........ ........ ........  6% 8,56M 10m18s
184320K ........ ........ ........ ........ ........ ........  6% 3,97M 10m18s
187392K ........ ........ ........ ........ ........ ........  6% 6,53M 10m13s
190464K ........ ........ ........ ........ ........ ........  6% 3,26M 10m15s
193536K ........ ........ ........ ........ ........ ........  6% 6,12M 10m12s
196608K ........ ........ ........ ........ ........ ........  7% 3,44M 10m13s
199680K ........ ........ ........ ........ ........ ........  7% 3,11M 10m15s
202752K ........ ........ ........ ........ ........ ........  7% 7,22M 10m11s
205824K ........ ........ ........ ........ ........ ........  7% 5,08M 10m8s
208896K ........ ........ ........ ........ ........ ........  7% 5,50M 10m6s
